,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
1221,21331.588128588148,3048.0000000000323,4651439.558042585,62900.19821243224,178.46429943678902,153.36297781029631,0.543455100626528,2,0.34700190896514743,0.02491320476637576,,44286.404573568754,109450.28501469966,0.93,False,1.594885369678311e-05,0.0,1.0359884752835524,0.0,,MTOW_mission:diversion:diversion_climb
1222,21332.678079092995,3048.0000000000323,4651634.075295853,62898.29558765608,179.59347559844147,154.33333333333334,0.5468936401355085,2,0.3426417816325467,0.02480135917349724,,44647.25008483955,109264.37651465411,0.93,False,1.598574123589296e-05,0.10475821457625915,1.0273271449742718,0.0,,MTOW_mission:diversion:diversion_climb
1223,21337.678079092995,3141.897496165825,4652527.119904007,62889.56222740976,180.46580712203496,154.33333333333334,0.5501760855185482,2,0.34259420619212366,0.024800148461038136,,44645.07056792018,108358.64397411446,0.93,False,1.601534686479279e-05,0.10330770558415381,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1224,21342.678079092995,3234.9493165503154,4653424.6381752575,62880.88522106454,181.33644042575705,154.33333333333334,0.5534558601900087,2,0.3425469377425483,0.024798945761784402,,44642.90547632246,107467.35606780066,0.93,False,1.6044710594158477e-05,0.10188010333242023,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1225,21347.678079092995,3327.162477671838,4654326.6189669445,62872.2638079324,182.2053314316512,154.33333333333334,0.5567327624627175,2,0.34249997213993244,0.024797750966424975,,44640.75461326534,106590.25901369985,0.93,False,1.607383471205614e-05,0.10047501107332563,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1226,21352.678079092995,3418.5439570492244,4655233.050980545,62863.69723690589,183.07243661633746,154.33333333333334,0.5600065923177534,2,0.3424533052925785,0.02479656396707082,,44638.61778452767,105727.10612984479,0.93,False,1.6102721499592594e-05,0.09909204315056143,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1227,21357.678079092995,3509.100696422646,4656143.922762504,62855.18476618106,183.93771304955226,154.33333333333334,0.5632771515677913,2,0.34240693315947063,0.024795384657214332,,44636.494798375104,104877.65744788726,0.93,False,1.6131373233100413e-05,0.09773082438761597,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1228,21362.678079092995,3598.839604656252,4657059.222705362,62846.725663000536,184.80111843059592,154.33333333333334,0.5665442440132807,2,0.3423608517488742,0.024794212931691602,,44634.38546549225,104041.67934978372,0.93,False,1.6159792186291783e-05,0.09639098951279286,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1229,21367.678079092995,3687.76756033798,4657978.939049149,62838.31920341551,185.66261112268703,154.33333333333334,0.5698076755913747,2,0.34231505711704,0.024793048686647425,,44632.289598919626,103218.94422654195,0.93,False,1.6187980632392657e-05,0.0950721826192284,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1230,21372.678079092995,3775.8914140917573,4658903.059883035,62829.96467206533,186.5221501852291,154.33333333333334,0.5730672545175525,2,0.34226954536700316,0.024791891819502723,,44630.207013995016,102409.23015800476,0.93,False,1.621594084626997e-05,0.09377405665830202,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1231,21377.678079092995,3863.2179906171486,4659831.573147224,62821.66136197356,187.37969540400226,154.33333333333334,0.576322791419907,2,0.34222431264747233,0.0247907422289244,,44628.13752829922,101612.32061267029,0.93,False,1.624367510656533e-05,0.09249627296486754,0.0,0.0,,MTOW_mission:diversion:diversion_climb
1232,21382.678079092995,3949.754090471248,4660764.46663507,62813.40857435927,188.23520731929517,154.33333333333334,0.5795740994660823,2,0.34217935515180126,0.024789599814797288,,44626.08096160558,100828.00416658107,0.93,False,1.6271185697849544e-05,0.09123850081278374,0.0,0.0,,MTOW_mission:diversion:diversion_climb
